speed,machine,status,suport,default,output,ontrack,delay,call,day,month,runningtime,campaign,pdays,previous,packmat,deposit
32,TOM16,Idle,tertiary,no,4665,yes,no,MTC,21,may,860,2,-1,0,ontime,yes
37,TOM16,Idle,secondary,no,3326,yes,no,MTC,21,may,799,1,-1,0,ontime,yes
32,XT4,Running,secondary,no,783,yes,no,MTC,21,may,923,3,-1,0,ontime,yes
33,XT4,Running,secondary,no,0,yes,no,MTC,21,may,521,3,-1,0,ontime,yes
35,XT4,Running,primary,no,994,yes,no,MTC,23,may,1349,8,-1,0,ontime,yes
35,Saidone,Downtime,tertiary,no,1354,yes,no,MTC,23,may,736,2,-1,0,ontime,yes
30,XT4,Idle,secondary,no,239,yes,no,MTC,23,may,785,1,-1,0,ontime,yes
45,XT4,Downtime,primary,no,311,yes,no,MTC,23,may,1030,1,-1,0,ontime,yes
45,XT14,Running,secondary,no,149,yes,no,MTC,23,may,893,3,-1,0,ontime,yes
33,XT4,Running,secondary,no,1464,yes,no,MTC,23,may,588,3,-1,0,ontime,yes
44,CJM,Downtime,tertiary,no,5773,no,no,MTC,23,may,597,6,-1,0,ontime,yes
40,XT4,Running,primary,no,278,yes,no,MTC,23,may,1015,3,-1,0,ontime,yes
31,XT4,Running,secondary,no,2910,yes,no,MTC,23,may,1392,2,-1,0,ontime,yes
30,TOM16,Running,tertiary,no,541,yes,no,MTC,26,may,414,2,-1,0,ontime,yes
44,TOM16,Downtime,secondary,no,1262,yes,no,MTC,26,may,788,11,-1,0,ontime,yes
34,XT10,Running,secondary,no,538,yes,no,MTC,26,may,682,1,-1,0,ontime,yes
37,XT4,Running,secondary,no,125,no,no,MTC,26,may,679,2,-1,0,ontime,yes
28,Saidone,Idle,tertiary,no,0,yes,no,MTC,26,may,1560,2,-1,0,ontime,yes
32,XT14,Idle,secondary,no,620,yes,no,MTC,26,may,1234,3,-1,0,ontime,yes
37,XT4,Downtime,secondary,no,316,yes,no,MTC,26,may,642,2,-1,0,ontime,yes
34,CJM,Running,tertiary,no,2287,yes,no,MTC,26,may,895,4,-1,0,ontime,yes
38,XT14,Downtime,secondary,no,198,yes,no,MTC,26,may,431,2,-1,0,ontime,yes
28,XT14,Idle,secondary,no,460,yes,no,MTC,26,may,741,6,-1,0,ontime,yes
31,CJM,Downtime,tertiary,no,1145,yes,no,MTC,26,may,1272,4,-1,0,ontime,yes
59,XT10,Running,secondary,no,22,yes,no,MTC,26,may,748,3,-1,0,ontime,yes
24,XT4,Running,secondary,no,685,yes,no,MTC,26,may,896,3,-1,0,ontime,yes
26,XT10,Idle,secondary,no,901,yes,no,MTC,26,may,764,2,-1,0,ontime,yes
59,CEIC,Idle,secondary,no,351,yes,no,MTC,27,may,1063,5,-1,0,ontime,yes
30,Saidone,Idle,primary,no,0,yes,yes,MTC,27,may,1051,1,-1,0,ontime,yes
37,XT14,Running,secondary,no,274,yes,no,MTC,27,may,731,3,-1,0,ontime,yes
30,XT14,Idle,secondary,no,213,yes,yes,MTC,27,may,751,1,-1,0,ontime,yes
25,XT4,Running,secondary,no,97,yes,no,MTC,27,may,709,1,-1,0,ontime,yes
44,XT10,Downtime,secondary,no,51,yes,yes,MTC,27,may,3094,2,-1,0,ontime,yes
29,CJM,Running,tertiary,no,314,no,no,MTC,28,may,938,2,-1,0,ontime,yes
26,CJM,Idle,tertiary,no,6840,yes,no,MTC,28,may,1560,2,-1,0,ontime,yes
26,TOM16,Idle,secondary,no,668,yes,no,MTC,28,may,576,3,-1,0,ontime,yes
27,XT10,Idle,secondary,no,54,yes,no,MTC,28,may,543,2,-1,0,ontime,yes
25,Saidone,Idle,secondary,no,1242,yes,no,MTC,28,may,615,2,-1,0,ontime,yes
28,CJM,Running,secondary,no,292,yes,no,MTC,28,may,507,1,-1,0,ontime,yes
23,XT10,Idle,secondary,no,665,yes,no,MTC,28,may,1183,1,-1,0,ontime,yes
34,CJM,Idle,tertiary,no,1058,yes,no,MTC,28,may,864,2,-1,0,ontime,yes
28,XT14,Idle,secondary,no,949,yes,no,MTC,28,may,1730,1,-1,0,ontime,yes
51,Saidone,Running,JYS,no,606,yes,no,MTC,28,may,560,9,-1,0,ontime,yes
35,XT4,Running,secondary,no,0,yes,yes,MTC,29,may,543,1,-1,0,ontime,yes
35,XT14,Running,secondary,no,404,yes,no,MTC,29,may,539,1,-1,0,ontime,yes
56,XT4,Running,secondary,no,249,yes,no,MTC,29,may,791,2,-1,0,ontime,yes
45,CJM,Downtime,secondary,no,3354,yes,no,MTC,29,may,746,1,-1,0,ontime,yes
60,XT4,Downtime,secondary,no,0,yes,no,MTC,29,may,1207,1,-1,0,ontime,yes
56,TOM16,Running,secondary,no,589,yes,no,MTC,29,may,535,2,-1,0,ontime,yes
27,CJM,Idle,tertiary,no,12956,yes,no,MTC,29,may,789,3,-1,0,ontime,yes
30,XT14,Running,secondary,no,873,yes,no,MTC,29,may,792,3,-1,0,ontime,yes
45,XT4,Downtime,primary,no,594,yes,no,MTC,29,may,833,2,-1,0,ontime,yes
29,XT4,Idle,secondary,no,20,yes,no,MTC,29,may,814,2,-1,0,ontime,yes
38,CJM,Downtime,tertiary,no,4692,yes,no,MTC,29,may,1363,2,-1,0,ontime,yes
30,XT4,Running,secondary,no,486,yes,no,MTC,29,may,1109,3,-1,0,ontime,yes
44,XT4,Idle,primary,no,1593,yes,no,MTC,29,may,828,3,-1,0,ontime,yes
36,CJM,Idle,tertiary,no,7606,yes,no,MTC,30,may,917,1,-1,0,ontime,yes
38,TOM16,Running,secondary,no,226,yes,no,MTC,30,may,762,3,-1,0,ontime,yes
36,XT4,Idle,secondary,no,366,yes,yes,MTC,30,may,1133,2,-1,0,ontime,yes
37,CJM,Downtime,secondary,no,16,yes,no,MTC,30,may,638,1,-1,0,ontime,yes
35,CJM,Idle,tertiary,no,565,yes,no,MTC,30,may,763,1,-1,0,ontime,yes
38,XT14,Downtime,secondary,no,19,yes,no,MTC,30,may,604,2,-1,0,ontime,yes
40,XT10,Running,primary,no,1082,yes,no,MTC,30,may,854,2,-1,0,ontime,yes
42,CJM,Downtime,secondary,no,1713,yes,no,MTC,30,may,855,2,-1,0,ontime,yes
46,CJM,Downtime,tertiary,no,14481,yes,no,MTC,30,may,1269,1,-1,0,ontime,yes
35,TOM16,Downtime,secondary,no,5724,yes,no,MTC,30,may,691,10,-1,0,ontime,yes
34,TOM16,Downtime,secondary,no,1451,yes,no,MTC,30,may,1097,15,-1,0,ontime,yes
32,XT10,Running,secondary,no,34,yes,no,MTC,30,may,1236,2,-1,0,ontime,yes
50,CJM,Running,secondary,no,3674,yes,no,MTC,30,may,886,3,-1,0,ontime,yes
35,XT4,Running,secondary,no,698,yes,yes,MTC,30,may,1343,3,-1,0,ontime,yes
36,TOM16,Idle,secondary,no,4136,yes,no,MTC,30,may,812,3,-1,0,ontime,yes
53,XT4,Downtime,primary,no,2656,yes,no,MTC,30,may,1980,2,-1,0,ontime,yes
46,CJM,Idle,tertiary,no,2904,yes,no,MTC,30,may,984,2,-1,0,ontime,yes
26,CJM,Idle,tertiary,no,1004,yes,no,MTC,30,may,228,2,-1,0,ontime,yes
45,TOM16,Idle,secondary,no,410,yes,no,MTC,30,may,891,4,-1,0,ontime,yes
31,CJM,Downtime,primary,no,0,yes,no,MTC,30,may,745,12,-1,0,ontime,yes
29,CJM,Idle,tertiary,no,0,yes,no,MTC,30,may,539,12,-1,0,ontime,yes
53,Saidone,Idle,secondary,no,62,yes,no,MTC,30,may,1044,5,-1,0,ontime,yes
27,XT4,Running,primary,no,416,yes,no,MTC,30,may,1193,2,-1,0,ontime,yes
39,CJM,Running,tertiary,no,2763,yes,no,MTC,2,jun,526,2,-1,0,ontime,yes
36,XT10,Running,secondary,no,2984,yes,no,MTC,2,jun,394,1,-1,0,ontime,yes
41,XT4,Running,primary,no,143,yes,yes,MTC,2,jun,659,2,-1,0,ontime,yes
36,XT10,Running,primary,no,0,yes,no,MTC,2,jun,1036,1,-1,0,ontime,yes
32,TOM16,Running,secondary,no,696,yes,no,MTC,2,jun,815,1,-1,0,ontime,yes
35,XT10,Running,secondary,no,152,yes,no,MTC,2,jun,563,1,-1,0,ontime,yes
36,CJM,Idle,tertiary,no,78,yes,no,MTC,2,jun,1068,1,-1,0,ontime,yes
35,CJM,Running,tertiary,no,867,yes,no,MTC,2,jun,230,3,-1,0,ontime,yes
30,XT4,Idle,secondary,no,953,yes,no,MTC,2,jun,747,2,-1,0,ontime,yes
42,XT4,Running,secondary,no,443,yes,no,MTC,2,jun,671,5,-1,0,ontime,yes
42,TOM16,Idle,secondary,yes,1129,yes,no,MTC,2,jun,555,5,-1,0,ontime,yes
32,XT4,Running,primary,no,415,yes,no,MTC,2,jun,777,4,-1,0,ontime,yes
29,XT4,Idle,secondary,no,260,yes,no,MTC,2,jun,707,14,-1,0,ontime,yes
44,CJM,Downtime,tertiary,yes,411,yes,no,MTC,2,jun,432,4,-1,0,ontime,yes
32,TOM16,Idle,secondary,no,1279,yes,no,MTC,3,jun,1173,3,-1,0,ontime,yes
31,CJM,Running,secondary,no,86,yes,yes,MTC,3,jun,963,2,-1,0,ontime,yes
40,Saidone,Running,secondary,yes,754,yes,yes,MTC,3,jun,941,3,-1,0,ontime,yes
43,Saidone,Running,secondary,no,0,no,no,MTC,3,jun,1025,7,-1,0,ontime,yes
27,CJM,Idle,secondary,no,178,yes,no,MTC,3,jun,732,2,-1,0,ontime,yes
37,XT10,Idle,secondary,no,278,yes,no,MTC,3,jun,1045,3,-1,0,ontime,yes
23,XT10,Idle,secondary,no,425,yes,no,MTC,3,jun,768,1,-1,0,ontime,yes
25,CJM,Running,primary,no,168,yes,no,MTC,3,jun,801,1,-1,0,ontime,yes
26,XT4,Idle,secondary,yes,36,yes,no,MTC,3,jun,482,2,-1,0,ontime,yes
47,XT4,Downtime,primary,no,126,yes,no,MTC,3,jun,2456,2,-1,0,ontime,yes
35,XT14,Running,secondary,no,87,yes,no,MTC,3,jun,1363,7,-1,0,ontime,yes
32,TOM16,Idle,tertiary,no,6281,yes,no,MTC,3,jun,1336,4,-1,0,ontime,yes
45,CJM,Downtime,secondary,no,644,yes,no,MTC,4,jun,633,1,-1,0,ontime,yes
30,XT14,Downtime,secondary,no,377,yes,no,MTC,4,jun,524,15,-1,0,ontime,yes
29,XT10,Idle,secondary,no,271,yes,no,MTC,4,jun,578,1,-1,0,ontime,yes
38,XT4,Running,primary,no,5839,yes,no,MTC,4,jun,984,2,-1,0,ontime,yes
23,XT4,Idle,secondary,no,492,yes,no,MTC,4,jun,638,1,-1,0,ontime,yes
27,CJM,Idle,tertiary,no,99,yes,no,MTC,4,jun,767,2,-1,0,ontime,yes
27,CJM,Idle,tertiary,yes,713,yes,no,MTC,4,jun,525,2,-1,0,ontime,yes
29,XT10,Idle,secondary,no,32,yes,no,MTC,4,jun,563,1,-1,0,ontime,yes
30,Saidone,Running,tertiary,no,543,yes,yes,MTC,4,jun,1449,6,-1,0,ontime,yes
36,XT4,Running,primary,no,403,yes,no,MTC,4,jun,920,1,-1,0,ontime,yes
35,XT14,Downtime,secondary,no,437,yes,no,MTC,4,jun,908,1,-1,0,ontime,yes
36,XT4,Running,secondary,no,1772,no,no,MTC,5,jun,208,1,-1,0,ontime,yes
59,CEIC,Downtime,primary,no,88,yes,no,MTC,5,jun,910,2,-1,0,ontime,yes
47,Saidone,Running,secondary,no,0,no,no,MTC,5,jun,1446,1,-1,0,ontime,yes
58,Saidone,Running,tertiary,no,853,no,no,MTC,5,jun,1149,2,-1,0,ontime,yes
37,CJM,Idle,tertiary,no,240,no,no,MTC,5,jun,1123,1,-1,0,ontime,yes
46,XT14,Idle,secondary,no,849,yes,no,MTC,5,jun,508,2,-1,0,ontime,yes
43,XT4,Idle,secondary,no,318,yes,no,MTC,5,jun,736,2,-1,0,ontime,yes
27,CJM,Idle,tertiary,no,703,yes,no,MTC,5,jun,590,3,-1,0,ontime,yes
38,XT10,Downtime,secondary,no,61,no,no,MTC,5,jun,636,1,-1,0,ontime,yes
53,Saidone,Running,primary,no,104,no,yes,MTC,5,jun,701,1,-1,0,ontime,yes
47,XT4,Running,secondary,no,1996,no,no,MTC,5,jun,761,2,-1,0,ontime,yes
56,Saidone,Downtime,primary,yes,1238,no,no,MTC,5,jun,1558,1,-1,0,ontime,yes
41,Saidone,Running,secondary,no,879,no,no,MTC,5,jun,1053,2,-1,0,ontime,yes
29,Saidone,Running,secondary,no,425,yes,no,MTC,5,jun,562,15,-1,0,ontime,yes
50,TOM16,Running,secondary,no,416,yes,no,MTC,5,jun,494,5,-1,0,ontime,yes
45,XT4,Downtime,primary,no,844,no,no,MTC,5,jun,1018,3,-1,0,ontime,yes
35,XT4,Running,secondary,no,860,yes,no,MTC,5,jun,884,4,-1,0,ontime,yes
26,TOM16,Idle,secondary,no,639,yes,no,MTC,6,jun,709,5,-1,0,ontime,yes
26,XT14,Running,secondary,no,710,yes,yes,MTC,6,jun,1276,2,-1,0,ontime,yes
37,XT4,Running,JYS,no,1508,no,yes,MTC,6,jun,381,2,-1,0,ontime,yes
30,XT14,Idle,secondary,no,223,yes,no,MTC,6,jun,862,11,-1,0,ontime,yes
38,CJM,Idle,tertiary,no,619,yes,no,MTC,6,jun,460,4,-1,0,ontime,yes
37,XT10,Downtime,secondary,no,319,yes,no,MTC,6,jun,467,3,-1,0,ontime,yes
53,TOM16,Running,secondary,no,480,no,no,MTC,6,jun,648,2,-1,0,ontime,yes
29,XT4,Idle,primary,no,213,yes,no,MTC,6,jun,2653,3,-1,0,ontime,yes
35,CJM,Idle,tertiary,no,68,no,no,MTC,6,jun,1085,1,-1,0,ontime,yes
28,XT4,Running,secondary,no,2788,yes,no,MTC,6,jun,369,2,-1,0,ontime,yes
55,XT4,Running,JYS,no,7561,no,no,MTC,6,jun,685,3,-1,0,ontime,yes
49,CJM,Downtime,secondary,no,46,yes,no,MTC,9,jun,1055,10,-1,0,ontime,yes
50,XT10,Running,secondary,no,1595,no,no,MTC,9,jun,882,1,-1,0,ontime,yes
43,CJM,Idle,tertiary,no,1046,no,no,MTC,9,jun,901,1,-1,0,ontime,yes
58,Saidone,Downtime,tertiary,no,1382,no,no,MTC,9,jun,700,1,-1,0,ontime,yes
38,TOM16,Running,primary,no,217,yes,no,MTC,9,jun,491,6,-1,0,ontime,yes
48,XT4,Downtime,primary,no,183,no,no,MTC,9,jun,940,1,-1,0,ontime,yes
59,CJM,Running,secondary,no,1321,no,no,MTC,9,jun,3881,3,-1,0,ontime,yes
58,XT4,Running,secondary,no,25,no,no,MTC,9,jun,486,3,-1,0,ontime,yes
36,Saidone,Idle,tertiary,no,4844,no,no,MTC,9,jun,1137,3,-1,0,ontime,yes
42,Saidone,Running,tertiary,no,5345,no,no,MTC,11,jun,878,3,-1,0,ontime,yes
41,XT14,Idle,secondary,no,812,no,yes,MTC,11,jun,583,4,-1,0,ontime,yes
42,XT14,Running,secondary,no,105,no,no,MTC,11,jun,1159,4,-1,0,ontime,yes
39,CJM,Running,tertiary,no,190,no,yes,MTC,11,jun,893,8,-1,0,ontime,yes
57,Saidone,Running,primary,no,625,no,yes,MTC,11,jun,867,1,-1,0,ontime,yes
52,CEIC,Running,JYS,no,293,no,no,MTC,11,jun,706,1,-1,0,ontime,yes
59,CEIC,Running,JYS,no,1033,no,no,MTC,11,jun,1199,1,-1,0,ontime,yes
56,XT4,Running,secondary,no,1210,no,no,MTC,11,jun,935,1,-1,0,ontime,yes
49,CJM,Running,tertiary,no,64,no,no,MTC,11,jun,586,1,-1,0,ontime,yes
35,XT4,Downtime,JYS,no,164,no,no,MTC,11,jun,967,2,-1,0,ontime,yes
36,CJM,Running,secondary,no,1766,no,no,MTC,11,jun,595,2,-1,0,ontime,yes
40,XT14,Idle,tertiary,no,1248,no,no,MTC,11,jun,1290,2,-1,0,ontime,yes
55,XT4,Running,secondary,no,0,no,no,MTC,12,jun,614,2,-1,0,ontime,yes
58,XT14,Running,secondary,no,826,no,no,MTC,12,jun,885,1,-1,0,ontime,yes
39,Saidone,Running,tertiary,no,2630,no,no,MTC,12,jun,651,5,-1,0,ontime,yes
